cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1342000,4.128,3.984,4.016,3.968,0.000,0.000
1344000,3.840,4.352,4.128,4.032,0.000,0.000
1346000,4.064,4.032,3.968,3.824,0.000,0.000
1348000,4.176,3.824,4.160,4.368,0.000,0.000
1350000,4.064,4.096,3.728,4.080,0.000,0.000
1352000,4.016,4.224,4.272,3.952,0.000,0.000
1354000,4.032,4.208,3.904,4.032,0.000,0.000
1356000,4.080,3.744,4.224,4.032,0.000,0.000
1358000,4.048,3.872,4.048,4.032,0.000,0.000
1360000,4.048,4.288,4.000,4.208,0.000,0.000
1362000,4.128,4.384,3.952,3.872,0.000,0.000
1364000,4.080,3.904,4.144,4.080,0.000,0.000
1366000,4.000,3.824,4.048,4.176,0.000,0.000
1368000,4.080,3.744,4.032,4.048,0.000,0.000
1370000,3.936,4.624,4.112,4.160,0.000,0.000
1372000,4.160,4.144,4.048,3.808,0.000,0.000
1374000,4.032,3.728,4.000,4.160,0.000,0.000
1376000,4.144,4.000,4.192,4.048,0.000,0.000
1378000,3.872,4.320,4.032,3.984,0.000,0.000
1380000,4.144,4.224,3.904,4.224,0.000,0.000
1382000,4.320,3.808,4.256,4.080,0.000,0.000
1384000,3.936,3.824,3.920,3.792,0.000,0.000
1386000,3.888,4.048,4.032,4.224,0.000,0.000
1388000,3.984,4.464,4.032,3.984,0.000,0.000
1390000,4.320,3.888,4.000,4.240,0.000,0.000
1392000,4.144,3.824,4.384,3.984,0.000,0.000
1394000,3.920,4.208,3.936,3.952,0.000,0.000
1396000,3.872,4.256,3.904,4.048,0.000,0.000
1398000,4.032,3.968,4.224,4.240,0.000,0.000
1400000,4.448,4.000,4.080,4.016,0.000,0.000
1402000,3.856,3.920,4.144,4.112,0.000,0.000
1404000,3.920,4.176,3.936,3.712,0.000,0.000
1406000,4.176,4.160,3.776,4.176,0.000,0.000
1408000,4.128,3.568,4.064,4.144,0.000,0.000
1410000,3.952,4.320,4.272,4.064,0.000,0.000
1412000,4.112,4.272,4.288,4.064,0.000,0.000
1414000,3.888,4.064,4.016,4.064,0.000,0.000
1416000,4.160,4.144,3.728,4.064,0.000,0.000
1418000,4.016,3.904,4.080,4.064,0.000,0.000
