Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
304000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.531214
306000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.708793
308000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.600681
310000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.593541
312000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.723609
314000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.578366
316000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.603640
318000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.705947
320000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.585677
322000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.607262
324000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.698628
326000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.603950
328000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.587089
330000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.670961
332000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.569195
334000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.660596
336000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.641962
338000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.596750
340000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.690864
342000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.606537
344000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.598763
346000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.710102
348000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.573826
350000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.594774
352000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.699973
354000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.564278
356000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.635070
358000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.688974
360000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.602728
362000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.610375
364000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.686956
366000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.561311
368000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.653388
