Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
13300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.197527
13400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.028271
13500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.508581
13600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.004480
13700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.235647
13800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.111102
13900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.800694
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.885557
14100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.702322
14200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.950510
14300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.743869
14400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.162807
14500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.468493
14600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.253458
14700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.391671
14800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.130514
14900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.441669
15000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.379238
15100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.686269
15200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.633357
15300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.361370
15400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.017914
15500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.647359
15600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.138841
15700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.739184
15800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.787975
15900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.078287
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.378856
16100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.122748
16200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.399950
16300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.460133
16400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.357452
16500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.405729
16600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.200579
16700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.194668
16800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.867035
16900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.209579
17000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.241284
17100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.496087
17200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.356106
17300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.896941
17400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.269274
17500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.390894
17600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.102174
17700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.705294
17800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.790662
17900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.826445
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.371793
18100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.861875
18200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.139547
18300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.769539
18400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.915777
18500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.733625
18600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.648329
18700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.740882
18800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.427707
18900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.315598
19000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.719119
19100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.019064
19200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.891527
19300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.339022
19400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.010896
19500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.016828
19600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.189528
19700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.682602
