Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1011300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.183663
1011400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.002116
1011500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.439765
1011600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.457990
1011700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.065116
1011800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.863599
1011900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.794039
1012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.551774
1012100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.683659
1012200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.342857
1012300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.470943
1012400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.421966
1012500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.725078
1012600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.276376
1012700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.346021
1012800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.369535
1012900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.420543
1013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.782953
1013100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.508985
1013200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.877039
1013300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.977971
1013400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.190703
1013500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.069942
1013600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.845031
1013700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.038489
1013800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.981624
1013900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.848419
1014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.951919
1014100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.659509
1014200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.234640
1014300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.920052
1014400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.152785
1014500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.597137
1014600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.960830
1014700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.279065
1014800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.755208
1014900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.556584
1015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.062215
1015100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.761361
1015200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.041500
1015300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.742374
1015400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.580895
1015500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.936820
1015600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.373795
1015700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.331899
1015800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.028918
1015900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.422223
1016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.006127
1016100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.357444
1016200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.554126
1016300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.993402
1016400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.524579
1016500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.009001
1016600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.668632
