Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
60000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107303
62000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.102715
64000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.105937
66000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.106181
68000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107823
70000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111659
72000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.100480
74000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104781
76000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107146
78000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110378
80000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104028
82000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.150533
84000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.129720
86000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107224
88000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104490
90000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110914
92000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104642
94000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110488
96000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107073
98000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.099837
100000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104367
102000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.115060
104000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.106813
106000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.120538
108000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.172486
110000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111275
112000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.108700
114000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.105983
116000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.109390
118000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.108517
120000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110215
122000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.112448
124000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.112959
126000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111484
128000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110672
130000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.114035
132000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.161290
134000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.118730
136000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.109828
138000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104195
140000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111105
142000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.105021
144000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.108067
146000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.098556
148000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.106706
150000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110295
152000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107792
154000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107236
