Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1254000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.661104
1256000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.771972
1258000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.199439
1260000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.048383
1262000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.138876
1264000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.999112
1266000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.567565
1268000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.179345
1270000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.589455
1272000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.614939
1274000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.454888
1276000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.659614
1278000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.084724
1280000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.162868
1282000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.006355
1284000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.917401
1286000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.747811
1288000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.192321
1290000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.424189
1292000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.212796
1294000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.306285
1296000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.800214
1298000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.927910
1300000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.998716
