cycle,pc,cta_id,cluster_id,warp_id,tid
2003029,240,1,1,15,ffffffff
2003032,2c0,1,1,8,ffffffff
2003035,130,1,1,6,ffffffff
2003062,248,1,1,15,ffffffff
2003072,250,1,1,15,ffffffff
2003075,1f8,1,1,10,ffffffff
2003094,208,1,1,10,ffffffff
2003108,1d8,1,1,1,ffffffff
2003160,1e8,1,1,1,ffffffff
2003161,1e0,1,1,1,ffffffff
2003162,a0,1,1,8,ffffffff
2003176,138,1,1,6,ffffffff
2003177,258,1,1,15,ffffffff
2003184,210,1,1,10,ffffffff
2003184,1f0,1,1,1,ffffffff
2003195,1a0,1,1,4,ffffffff
2003198,140,1,1,6,ffffffff
2003230,268,1,1,15,ffffffff
2003231,260,1,1,15,ffffffff
2003241,270,1,1,15,ffffffff
2003244,1f8,1,1,1,ffffffff
2003245,218,1,1,10,ffffffff
2003263,148,1,1,6,ffffffff
2003266,200,1,1,1,ffffffff
2003273,150,1,1,6,ffffffff
2003298,208,1,1,1,ffffffff
2003308,210,1,1,1,ffffffff
2003311,278,1,1,15,ffffffff
2003330,228,1,1,10,ffffffff
2003332,280,1,1,15,ffffffff
2003345,158,1,1,6,ffffffff
2003364,288,1,1,15,ffffffff
2003366,160,1,1,6,ffffffff
2003374,290,1,1,15,ffffffff
2003380,218,1,1,1,ffffffff
2003384,2a0,1,1,15,ffffffff
2003386,2a8,1,1,15,ffffffff
2003388,2b0,1,1,15,ffffffff
2003394,2b8,1,1,15,ffffffff
2003398,168,1,1,6,ffffffff
2003399,2c0,1,1,15,ffffffff
2003399,220,1,1,10,ffffffff
2003401,220,1,1,1,ffffffff
2003408,170,1,1,6,ffffffff
2003410,230,1,1,10,ffffffff
2003414,298,1,1,15,ffffffff
2003433,228,1,1,1,ffffffff
2003435,a0,1,1,15,ffffffff
2003443,230,1,1,1,ffffffff
2003448,178,1,1,6,ffffffff
2003469,180,1,1,6,ffffffff
2003472,1a8,1,1,4,ffffffff
2003482,1b0,1,1,4,ffffffff
2003482,238,1,1,1,ffffffff
2003501,188,1,1,6,ffffffff
2003503,240,1,1,10,ffffffff
2003504,240,1,1,1,ffffffff
2003511,190,1,1,6,ffffffff
2003536,248,1,1,1,ffffffff
2003540,a8,1,1,8,ffffffff
2003546,250,1,1,1,ffffffff
2003549,1b8,1,1,4,ffffffff
2003557,b0,1,1,8,ffffffff
2003568,248,1,1,10,ffffffff
2003570,1c0,1,1,4,ffffffff
2003583,198,1,1,6,ffffffff
2003585,238,1,1,10,ffffffff
2003591,250,1,1,10,ffffffff
2003602,1c8,1,1,4,ffffffff
2003604,1a0,1,1,6,ffffffff
2003618,258,1,1,1,ffffffff
2003619,b8,1,1,8,ffffffff
2003627,1d0,1,1,4,ffffffff
