cycle,pc,cta_id,cluster_id,warp_id,tid
13794,f0,2,2,10,ffffffff
13794,f8,2,2,2,ffffffff
14112,f8,2,2,9,ffffffff
14114,f8,2,2,3,ffffffff
14121,f0,2,2,11,ffffffff
14121,f0,2,2,5,ffffffff
14121,f0,2,2,12,ffffffff
14257,e8,2,2,13,ffffffff
14287,f8,2,2,10,ffffffff
14309,e8,2,2,14,ffffffff
14351,e8,2,2,15,ffffffff
14374,f8,2,2,12,ffffffff
14377,f8,2,2,5,ffffffff
14379,f8,2,2,11,ffffffff
14383,f0,2,2,13,ffffffff
14383,f0,2,2,14,ffffffff
14386,f0,2,2,15,ffffffff
14550,e8,2,2,8,ffffffff
14560,f0,2,2,8,ffffffff
14587,e8,2,2,0,ffffffff
14597,f0,2,2,0,ffffffff
14626,108,2,2,1,ffffffff
14691,110,2,2,1,ffffffff
14888,f8,2,2,14,ffffffff
14893,f8,2,2,13,ffffffff
14910,f8,2,2,15,ffffffff
14912,108,2,2,6,ffffffff
14914,f8,2,2,8,ffffffff
14922,110,2,2,6,ffffffff
15053,100,2,2,13,ffffffff
15054,100,2,2,14,ffffffff
15055,100,2,2,4,ffffffff
15056,100,2,2,7,ffffffff
15057,100,2,2,2,ffffffff
15058,100,2,2,3,ffffffff
15059,100,2,2,9,ffffffff
15060,100,2,2,10,ffffffff
15061,100,2,2,11,ffffffff
15062,100,2,2,12,ffffffff
15271,108,2,2,4,ffffffff
15488,110,2,2,4,ffffffff
15850,118,2,2,1,ffffffff
15865,118,2,2,6,ffffffff
15871,108,2,2,7,ffffffff
15881,110,2,2,7,ffffffff
15971,108,2,2,2,ffffffff
15981,110,2,2,2,ffffffff
16082,108,2,2,3,ffffffff
16092,110,2,2,3,ffffffff
16147,108,2,2,9,ffffffff
16157,110,2,2,9,ffffffff
16267,118,2,2,4,ffffffff
16274,108,2,2,10,ffffffff
16342,108,2,2,11,ffffffff
16446,f8,2,2,0,ffffffff
16449,118,2,2,7,ffffffff
16456,118,2,2,2,ffffffff
16458,110,2,2,10,ffffffff
16463,118,2,2,9,ffffffff
16472,110,2,2,11,ffffffff
16555,108,2,2,12,ffffffff
16565,110,2,2,12,ffffffff
16691,108,2,2,5,ffffffff
17294,108,2,2,14,ffffffff
17304,110,2,2,14,ffffffff
17407,120,2,2,9,ffffffff
17408,120,2,2,2,ffffffff
17409,100,2,2,15,ffffffff
